check,timestamp,status,httpStatus,responseTimeMs,targetMs,withinTarget,reason,screenshot
1,2026-03-09T09:20:21.629Z,PASS,200,994,1000,true,"",""
2,2026-03-09T09:20:24.405Z,PASS,200,310,1000,true,"",""
3,2026-03-09T09:20:27.175Z,PASS,200,315,1000,true,"",""
4,2026-03-09T09:20:29.937Z,PASS,200,314,1000,true,"",""
5,2026-03-09T09:20:32.688Z,PASS,200,308,1000,true,"",""
6,2026-03-09T09:20:35.454Z,PASS,200,298,1000,true,"",""
7,2026-03-09T09:20:38.207Z,PASS,200,273,1000,true,"",""
8,2026-03-09T09:20:40.973Z,PASS,200,275,1000,true,"",""
9,2026-03-09T09:20:43.756Z,PASS,200,280,1000,true,"",""
10,2026-03-09T09:20:46.499Z,PASS,200,295,1000,true,"",""
11,2026-03-09T09:20:49.253Z,PASS,200,281,1000,true,"",""
12,2026-03-09T09:20:52.010Z,PASS,200,292,1000,true,"",""
13,2026-03-09T09:20:54.786Z,PASS,200,288,1000,true,"",""
14,2026-03-09T09:20:57.537Z,PASS,200,337,1000,true,"",""
15,2026-03-09T09:21:00.302Z,PASS,200,313,1000,true,"",""
16,2026-03-09T09:21:03.068Z,PASS,200,280,1000,true,"",""
17,2026-03-09T09:21:05.818Z,PASS,200,280,1000,true,"",""
18,2026-03-09T09:21:08.574Z,PASS,200,413,1000,true,"",""
19,2026-03-09T09:21:11.317Z,PASS,200,307,1000,true,"",""
20,2026-03-09T09:21:14.076Z,PASS,200,291,1000,true,"",""
